| Class       | precision | recall | f1-score | support |
| ----------- | --------- | ------ | -------- | ------- |
| 0 (Normal)  | 0.93      | 0.97   | 0.95     | 160     |
| 1 (Failure) | 0.91      | 0.83   | 0.87     | 40      |
| accuracy    |           |        | 0.93     | 200     |
